question,segment_type,segment_description,answer,count,percentage
What social platform has influenced your online shopping most?,University,Stanford University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,None,4,0.571
What social platform has influenced your online shopping most?,University,Vanderbilt University,Facebook,14,0.452
What social platform has influenced your online shopping most?,University,Vanderbilt University,Instagram,7,0.226
What social platform has influenced your online shopping most?,University,Vanderbilt University,Snapchat,1,0.032
What social platform has influenced your online shopping most?,University,Vanderbilt University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Vanderbilt University,None,9,0.29
What social platform has influenced your online shopping most?,University,Chapman University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,Instagram,2,0.667
What social platform has influenced your online shopping most?,University,Chapman University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,None,1,0.333
What social platform has influenced your online shopping most?,University,Missouri State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Missouri State University,Instagram,7,0.636
What social platform has influenced your online shopping most?,University,Missouri State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Missouri State University,Twitter,1,0.091
What social platform has influenced your online shopping most?,University,Missouri State University,None,3,0.273
What social platform has influenced your online shopping most?,University,Emory University,Facebook,10,0.313
What social platform has influenced your online shopping most?,University,Emory University,Instagram,9,0.281
What social platform has influenced your online shopping most?,University,Emory University,Snapchat,1,0.031
What social platform has influenced your online shopping most?,University,Emory University,Twitter,1,0.031
What social platform has influenced your online shopping most?,University,Emory University,None,11,0.344
What social platform has influenced your online shopping most?,University,University of Richmond,Facebook,3,0.6
What social platform has influenced your online shopping most?,University,University of Richmond,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,None,2,0.4
What social platform has influenced your online shopping most?,University,Medford High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,None,1,1.0
What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,1,0.071
What social platform has influenced your online shopping most?,University,Texas Christian University,Instagram,7,0.5
What social platform has influenced your online shopping most?,University,Texas Christian University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,2,0.143
What social platform has influenced your online shopping most?,University,Texas Christian University,None,4,0.286
What social platform has influenced your online shopping most?,University,University of British Columbia,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,None,1,1.0
What social platform has influenced your online shopping most?,University,Colby College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Colby College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,None,0,0.0
What social platform has influenced your online shopping most?,University,Bates College,Facebook,8,0.216
What social platform has influenced your online shopping most?,University,Bates College,Instagram,12,0.324
What social platform has influenced your online shopping most?,University,Bates College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Bates College,Twitter,2,0.054
What social platform has influenced your online shopping most?,University,Bates College,None,15,0.405
What social platform has influenced your online shopping most?,University,Cornell University,Facebook,25,0.298
What social platform has influenced your online shopping most?,University,Cornell University,Instagram,22,0.262
What social platform has influenced your online shopping most?,University,Cornell University,Snapchat,2,0.024
What social platform has influenced your online shopping most?,University,Cornell University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Cornell University,None,35,0.417
What social platform has influenced your online shopping most?,University,"Westport, CT",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",None,0,0.0
What social platform has influenced your online shopping most?,University,Whitman College,Facebook,2,0.105
What social platform has influenced your online shopping most?,University,Whitman College,Instagram,4,0.211
What social platform has influenced your online shopping most?,University,Whitman College,Snapchat,3,0.158
What social platform has influenced your online shopping most?,University,Whitman College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Whitman College,None,10,0.526
What social platform has influenced your online shopping most?,University,Thompson Rivers University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Thompson Rivers University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Central Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Montana,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Montana,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,None,1,1.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,None,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Facebook,3,0.429
What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.429
What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,None,1,0.143
What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,None,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0
